| schemaname | tablename           | indexname                    | indexdef                                                                                          |
| ---------- | ------------------- | ---------------------------- | ------------------------------------------------------------------------------------------------- |
| public     | admission_enquiries | admission_enquiries_pkey     | CREATE UNIQUE INDEX admission_enquiries_pkey ON public.admission_enquiries USING btree (id)       |
| public     | class_materials     | class_materials_pkey         | CREATE UNIQUE INDEX class_materials_pkey ON public.class_materials USING btree (id)               |
| public     | faculty_members     | faculty_members_pkey         | CREATE UNIQUE INDEX faculty_members_pkey ON public.faculty_members USING btree (id)               |
| public     | faculty_profiles    | faculty_profiles_pkey        | CREATE UNIQUE INDEX faculty_profiles_pkey ON public.faculty_profiles USING btree (id)             |
| public     | faculty_profiles    | faculty_profiles_user_id_key | CREATE UNIQUE INDEX faculty_profiles_user_id_key ON public.faculty_profiles USING btree (user_id) |
| public     | gallery_images      | gallery_images_pkey          | CREATE UNIQUE INDEX gallery_images_pkey ON public.gallery_images USING btree (id)                 |
| public     | users               | users_email_key              | CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)                           |
| public     | users               | users_pkey                   | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)                                   |
